Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week)
35.0,Male,69.5,1.68,172,155.0,59.0,1.78,1350.0,HIIT,23.6,1.6,3
24.0,Female,91.2,1.66,167,129.0,60.0,1.27,314.0,HIIT,30.8,3.4,5
43.0,Male,102.5,1.79,190,138.0,69.0,1.54,844.0,Cardio,19.7,3.7,4
34.0,Male,76.4,1.84,164,161.0,69.0,1.2,978.0,Cardio,17.0,3.0,3
18.0,Male,83.1,1.94,188,153.0,56.0,1.41,1180.0,Yoga,24.4,3.3,3
45.0,Male,59.5,1.61,194,121.0,55.0,1.3,741.0,Cardio,24.5,2.0,4
44.0,Female,64.5,1.5,173,166.0,50.0,0.54,874.0,Yoga,25.2,1.9,3
26.0,Male,83.1,1.52,163,139.0,51.0,1.95,925.0,Strength,10.0,2.8,3
59.0,Male,40.0,1.78,179,139.0,59.0,1.16,483.0,HIIT,19.7,3.7,3
37.0,Female,58.7,1.78,195,154.0,59.0,1.34,1015.0,Cardio,29.5,2.8,2
48.0,Female,122.3,1.71,183,120.0,63.0,0.79,992.0,Strength,10.0,2.6,4
55.0,Male,94.8,2.0,192,169.0,50.0,1.38,1458.0,Strength,23.2,2.3,3
18.0,Male,56.2,1.75,164,127.0,57.0,1.45,952.0,Strength,29.6,3.5,4
26.0,Male,129.9,1.71,196,136.0,74.0,1.27,931.0,Yoga,26.6,1.8,5
27.0,Female,45.6,1.739233371,177,146.0,74.0,2.0,1108.0,Yoga,18.0,2.9,4
55.0,Female,63.2,1.59,161,168.0,69.0,1.49,1094.0,Yoga,19.0,3.6,3
18.0,Male,52.4,1.74,181,169.0,63.0,0.83,889.0,Strength,10.0,2.8,4
53.0,Female,84.7,1.61,193,158.0,72.0,2.0,478.0,Yoga,25.6,2.4,3
53.0,Female,70.5,1.9,198,146.0,69.0,0.84,766.0,Cardio,31.9,2.9,5
44.0,Female,40.8,1.74,177,165.0,72.0,1.391598199,384.0,HIIT,10.0,2.706644144,3
56.0,Female,107.4,1.73,176,141.0,71.0,0.65,1564.0,HIIT,26.0,3.0,2
29.0,Female,77.4,1.69,179,132.0,74.0,1.11,712.0,Yoga,27.0,3.5,2
39.0,Male,91.0,1.73,165,169.0,72.0,1.49,813.0,Strength,23.3,3.4,2
38.0,Male,93.7,1.66,168,169.0,68.0,1.97,875.0,Cardio,29.0,3.4,4
21.0,Male,54.7,1.56,191,157.0,55.0,1.13,682.0,Cardio,25.2,1.5,4
18.0,Female,76.1,1.64,196,169.0,63.0,1.43,686.0,Cardio,34.8,1.5,3
18.0,Female,59.1,2.0,181,123.0,72.0,1.94,901.0,HIIT,23.2,2.4,4
20.0,Male,45.0,1.68,171,154.0,74.0,1.5,1692.0,Yoga,10.0,2.4,4
43.0,Male,83.5,1.96,168,169.0,54.0,1.47,1522.0,Strength,23.50936099,2.1,4
49.0,Male,40.0,1.75,166,169.0,59.0,1.3,1033.698931,Yoga,19.7,1.6,4
37.0,Female,78.5,1.5,189,169.0,60.0,1.67,954.0,HIIT,17.9,2.4,3
38.0,Male,82.7,2.0,178,138.0,72.0,1.46,1219.0,Yoga,25.8,3.6,4
40.0,Male,76.7,1.68,177,133.0,57.0,0.89,984.0,Cardio,27.3,3.1,2
51.0,Male,79.2,1.85,178,147.0,51.0,1.52,1355.0,Strength,23.2,2.0,4
30.0,Male,75.6,1.82,196,138.0,74.0,1.31,925.0,Cardio,32.4,3.3,3
52.0,Female,62.4,1.91,191,161.0,63.0,2.0,1783.0,Yoga,27.3,3.2,2
25.0,Female,61.1,1.72,176,162.0,53.0,0.92,1378.0,Strength,15.0,3.4,4
45.0,Female,67.3,1.67,198,155.0,54.0,0.72,1006.0,Yoga,33.2,3.5,4
18.0,Female,45.3,1.75,190,169.0,69.0,0.82,808.0,Cardio,28.4,3.7,2
28.0,Male,88.5,1.64,160,163.0,50.0,1.25,1190.0,Cardio,31.7,3.2,3
35.0,Male,40.0,1.72,182,120.0,70.0,1.22,1178.0,HIIT,14.6,1.9,4
18.0,Female,52.1,1.73,183,135.0,74.0,1.4,1141.0,Cardio,23.9,3.1,3
28.0,Female,101.9,1.5,196,164.0,56.0,1.87,1211.0,Cardio,23.8,3.2,2
54.0,Male,88.5,2.0,173,134.0,58.0,1.11,1388.0,HIIT,27.7,3.7,3
51.0,Female,96.3,1.88,166,127.0,59.0,1.32,1362.0,Strength,28.1,1.9,2
54.0,Male,68.9,1.78,187,155.0,60.0,1.42,913.0,Strength,30.7,3.4,3
27.0,Male,56.4,1.76,198,129.0,71.0,1.79,488.0,HIIT,22.9,3.3,4
28.0,Female,40.0,1.57,165,169.0,68.0,1.04,669.0,Cardio,30.2,2.6,2
18.0,Female,93.3,1.71,199,146.259322,50.0,1.59,1166.0,Yoga,22.3,2.6,4
20.0,Male,67.60663667,1.81,171,168.0,74.0,0.75,793.0,Strength,24.4,2.1,3
33.0,Male,42.7,1.82,196,145.0,68.0,1.24,1436.0,Yoga,26.3,3.7,4
18.0,Male,75.4,1.97,177,136.0,67.0,0.76,1371.0,HIIT,29.7,3.1,2
27.0,Male,112.6,1.79,174,167.0,60.0,0.69,1282.0,Strength,28.6,1.5,2
49.0,Male,88.4,1.75,192,145.0,74.0,1.27,493.0,Yoga,23.5,2.2,3
32.0,Female,69.5,1.65,192,140.0,52.0,1.71,1163.0,Cardio,29.8,3.5,4
31.0,Female,67.9,1.7,163,124.0,68.0,1.43,1338.0,Cardio,13.0,3.1,5
29.0,Male,62.0,1.74,181,158.0,53.0,1.15,549.0,Yoga,22.5,2.2,3
35.0,Male,75.4,1.64,198,167.0,63.0,1.14,1045.0,Yoga,20.5,1.5,3
39.0,Female,90.5,1.739233371,175,169.0,51.0,2.0,883.0,HIIT,30.8,3.6,3
42.0,Male,53.6,1.86,199,167.0,62.0,2.0,1096.0,Strength,21.9,3.4,3
33.0,Male,60.8,1.78,189,147.0,73.0,1.04,951.0,Cardio,27.3,3.3,4
18.0,Male,67.60663667,1.84,179,136.0,74.0,1.52,1256.0,Strength,22.5,3.4,2
28.0,Male,87.3,1.51,190,168.0,56.0,2.0,1306.0,Yoga,32.0,2.3,4
22.0,Male,52.3,1.66,190,146.0,59.0,0.76,1186.0,Yoga,21.4,3.3,2
43.0,Female,47.6,1.65,198,140.0,61.0,2.0,692.0,Cardio,22.0,3.5,3
46.0,Female,67.5,1.76,160,150.0,74.0,1.43,577.0,Yoga,20.0,2.6,4
27.0,Female,43.4,1.71,184,165.0,71.0,1.24,945.0,Strength,10.0,3.6,2
50.0,Female,88.5,2.0,181,146.0,72.0,1.33,1088.0,Cardio,11.9,2.3,4
39.0,Male,78.5,1.59,197,153.0,71.0,1.88,1009.0,Yoga,26.0,3.7,5
18.0,Female,53.5,1.68,198,134.0,74.0,1.9,368.0,HIIT,28.1,3.1,5
51.0,Male,75.7,1.739233371,163,147.0,57.0,1.02,406.0,Strength,21.8,1.5,3
24.0,Female,48.3,1.73,193,136.0,62.0,1.98,1404.0,Strength,22.0,3.5,3
52.0,Female,65.8,1.82,168,167.0,71.0,1.15,751.0,Strength,17.1,1.5,3
38.0,Male,53.6,1.7,188,126.0,73.0,0.97,1083.0,Yoga,30.4,3.4,4
26.0,Male,82.2,1.69,189,139.0,70.0,1.45,1184.0,Yoga,10.0,2.5,5
19.0,Female,71.7,1.91,197,148.0,74.0,1.15,464.0,Cardio,32.5,2.7,4
59.0,Male,45.8,1.5,163,137.0,55.0,1.98,1306.0,Cardio,24.0,2.9,4
36.0,Female,55.9,1.76,181,169.0,74.0,1.91,474.0,Strength,18.2,1.5,5
29.0,Female,58.4,1.61,182,165.0,70.0,0.77,1259.0,HIIT,20.1,3.5,4
26.0,Male,72.4,1.68,196,169.0,53.0,2.0,1082.0,HIIT,29.8,2.5,2
24.0,Female,65.3,1.74,178,168.0,63.0,1.12,984.0,HIIT,25.6,3.3,4
53.0,Female,55.9,1.78,182,125.0,58.0,1.45,1308.0,Yoga,21.1,1.5,3
28.0,Female,64.1,1.82,170,120.0,57.0,1.53,686.0,Yoga,16.3,2.7,2
30.0,Female,76.3,2.0,193,132.0,59.0,1.11,548.0,HIIT,34.9,3.2,3
55.0,Female,60.6,1.68,185,124.0,70.0,1.35,1447.0,HIIT,24.0,2.0,4
33.0,Female,129.9,1.56,189,138.0,73.0,2.0,993.0,Strength,34.0,2.3,3
53.0,Female,64.4,1.58,198,158.0,74.0,1.82,1144.0,Yoga,27.2,3.0,2
58.0,Male,47.6,1.84,182,155.0,66.0,1.59,635.0,Yoga,11.2,2.6,4
30.0,Male,56.6,2.0,184,125.0,52.0,1.29,918.0,Cardio,28.9,3.3,2
45.0,Female,60.7,1.63,170,139.0,74.0,1.18,1356.0,Cardio,10.0,3.3,3
19.0,Female,129.9,1.71,161,169.0,56.0,2.0,443.0,Yoga,29.6,2.4,4
52.0,Male,84.3,1.69,164,169.0,54.0,0.77,1367.0,HIIT,32.6,2.9,3
47.0,Male,59.6,1.88,192,125.0,50.0,1.32,1108.0,Yoga,30.6,2.3,3
26.0,Female,86.6,1.739233371,192,120.0,59.0,1.75,1102.0,HIIT,19.0,1.8,3
28.0,Female,40.0,1.81,194,164.0,57.0,1.57,1070.0,Yoga,21.3,3.4,3
18.0,Female,84.0,1.71,194,148.0,52.0,0.92,621.0,Strength,28.3,3.4,3
48.0,Female,40.0,1.75,196,133.0,74.0,2.0,517.0,Cardio,12.8,2.5,4
38.0,Female,59.0,1.739233371,169,134.0,67.0,1.36,1783.0,Yoga,24.5,2.4,3
27.0,Female,71.3,1.739233371,168,162.0,71.0,1.93,1105.0,HIIT,28.9,2.7,4
42.0,Male,108.5,1.85,192,167.0,74.0,1.39,801.0,Cardio,29.0,3.0,2
43.0,Male,76.3,1.66,188,164.0,58.0,0.84,606.0,Strength,25.7,1.8,3
22.0,Male,96.9,1.8,163,132.0,56.0,0.94,748.0,HIIT,21.7,2.5,4
25.0,Male,61.3,1.77,173,167.0,50.0,1.88,1760.0,Strength,35.0,3.1,4
18.0,Female,40.0,1.68,178,147.0,71.0,2.0,831.0,HIIT,17.3,3.5,4
31.0,Female,55.7,1.8,168,167.0,64.0,1.53,600.0,HIIT,34.4,2.8,4
18.0,Female,98.5,1.99,187,153.0,57.0,1.95,859.0,Yoga,22.7,1.9,3
45.0,Male,70.9,2.0,198,128.0,73.0,1.19,1064.0,HIIT,27.8,1.5,3
42.0,Female,50.3,1.69,199,159.0,69.0,0.95,1293.0,Yoga,14.8,3.2,3
37.0,Female,68.9,1.65,171,132.0,50.0,1.19,767.0,Strength,23.0,2.706644144,3
56.0,Female,56.2,1.69,198,155.0,74.0,1.64,1486.0,Cardio,24.4,1.8,2
46.0,Female,45.7,1.96,168,137.0,64.0,1.38,1303.0,Strength,29.8,3.3,2
47.0,Female,79.2,1.81,160,169.0,74.0,1.28,595.0,Yoga,19.0,3.3,2
30.0,Male,46.3,1.59,166,133.0,54.0,1.33,1001.0,Strength,23.8,2.2,2
39.0,Male,76.2,1.77,164,169.0,74.0,2.0,1196.0,HIIT,28.7,3.3,2
57.0,Male,67.9,1.78,187,163.0,59.0,2.0,1168.0,Yoga,23.9,3.7,3
23.0,Male,52.3,1.74,184,122.0,65.0,1.38,915.0,Yoga,10.0,3.5,4
46.0,Female,58.6,2.0,194,135.0,55.0,2.0,1162.0,HIIT,27.1,3.6,2
30.0,Male,129.9,1.78,189,120.0,74.0,1.51,828.0,Yoga,20.0,1.5,2
18.0,Female,40.0,1.75,176,124.0,68.0,1.01,1536.0,HIIT,14.6,3.5,3
39.0,Female,50.3,1.94,164,160.0,66.0,0.58,992.0,Cardio,10.0,2.9,4
59.0,Female,44.5,1.84,183,154.0,71.0,1.28,787.0,Cardio,26.5,1.7,2
28.0,Female,48.7,1.6,175,133.0,59.0,1.38,996.0,HIIT,23.5,1.5,2
27.0,Female,40.0,1.85,177,156.0,65.0,1.58,1014.0,Cardio,24.0,3.7,5
25.0,Male,44.2,1.9,174,159.0,50.0,1.1,1293.0,Yoga,25.7,2.5,4
18.0,Female,42.0,1.74,197,120.0,57.0,2.0,1236.0,Cardio,26.6,1.5,3
32.0,Female,40.0,1.89,177,134.0,71.0,1.391598199,1270.0,HIIT,23.9,1.9,3
43.0,Female,58.9,1.85,174,139.0,67.0,1.41,1217.0,Strength,19.9,2.0,2
19.0,Male,59.8,1.7,181,120.0,73.0,1.54,1130.0,Cardio,29.6,3.5,3
19.0,Female,92.2,1.73,170,150.0,74.0,2.0,538.0,Cardio,10.0,2.2,2
40.0,Male,73.8,1.85,185,165.0,59.0,1.99,1485.0,Strength,27.9,2.0,4
23.0,Female,68.0,1.74,175,120.0,68.0,1.01,694.0,HIIT,24.5,3.5,5
45.0,Male,121.2,1.67,186,133.0,55.0,2.0,466.0,Cardio,16.7,3.4,4
43.0,Male,40.0,1.73,161,146.0,69.0,1.391598199,1359.0,Cardio,21.3,2.5,2
46.0,Female,53.7,1.5,177,169.0,54.0,1.62,1245.0,Strength,26.8,3.7,4
58.0,Male,73.5,1.93,175,169.0,61.0,1.45,1019.0,HIIT,14.0,2.7,2
26.0,Female,92.4,1.59,165,169.0,55.0,1.49,1783.0,HIIT,24.9,1.5,4
22.0,Male,54.3,1.85,165,144.0,53.0,2.0,1740.0,Cardio,26.6,3.7,4
24.0,Female,45.5,2.0,169,164.0,60.0,1.82,1297.0,HIIT,24.9,2.2,3
58.0,Female,76.3,1.56,190,145.0,72.0,2.0,913.0,Strength,23.50936099,3.3,3
24.0,Female,89.0,1.61,192,160.0,74.0,1.3,827.0,Yoga,23.8,3.1,3
34.0,Female,80.0,2.0,173,125.0,56.0,1.82,773.0,Strength,22.3,2.8,4
18.0,Female,47.8,1.73,162,136.0,56.0,1.42,562.0,Cardio,23.9,3.4,3
38.0,Male,71.0,1.84,190,120.0,53.0,1.93,1700.0,Cardio,24.7,3.1,3
30.0,Female,42.2,1.63,177,134.0,74.0,2.0,685.0,Yoga,26.4,3.7,3
37.0,Male,40.0,1.92,194,128.0,72.0,1.89,1753.0,Strength,10.0,3.4,5
42.0,Female,47.7,1.72,183,150.0,57.0,1.95,782.0,Yoga,31.4,3.1,3
18.0,Female,67.60663667,1.64,196,169.0,74.0,0.9,921.0,Strength,25.8,3.3,5
49.0,Female,86.0,1.5,192,127.0,65.0,1.79,636.0,HIIT,22.1,1.8,4
31.0,Male,79.4,1.58,163,125.0,74.0,1.49,663.0,Cardio,24.0,2.4,3
23.0,Female,40.0,1.89,162,126.0,60.0,0.74,1237.0,Cardio,24.7,2.9,3
28.0,Female,91.6,1.68,191,128.0,59.0,0.68,1783.0,Yoga,19.1,2.6,2
23.0,Male,83.0,1.74,160,120.0,72.0,1.35,1628.0,Yoga,21.0,3.3,5
51.0,Female,46.2,1.73,192,169.0,62.0,1.55,1389.0,Cardio,32.8,1.7,3
23.0,Male,62.3,1.68,167,122.0,74.0,1.69,772.0,Cardio,21.1,3.3,3
20.0,Male,92.8,2.0,195,154.0,58.0,1.44,676.0,Yoga,24.3,1.5,4
19.0,Male,51.8,1.6,176,159.0,72.0,1.14,574.0,Cardio,25.3,2.0,4
38.0,Male,58.4,1.65,169,141.0,53.0,2.0,1109.0,Yoga,24.0,2.3,2
18.0,Male,42.0,1.82,188,137.0,67.0,0.77,589.0,HIIT,16.4,2.0,2
18.0,Female,44.2,1.64,171,164.0,66.0,1.14,1083.0,Yoga,16.1,2.2,5
37.0,Female,69.1,1.74,175,127.0,53.0,1.61,1411.0,Strength,31.9,3.6,2
18.0,Male,49.9,1.77,191,123.0,74.0,1.4,626.0,Strength,25.9,3.4,2
29.0,Female,80.7,1.74,192,121.0,72.0,1.43,839.0,Strength,26.5,1.5,4
34.0,Female,83.2,1.64,171,164.0,69.0,1.19,1392.0,Yoga,22.9,3.5,3
47.0,Male,65.6,1.77,190,154.0,54.0,1.59,413.0,Strength,23.1,3.6,2
22.0,Male,66.0,1.67,181,122.0,50.0,0.96,912.0,Cardio,26.3,1.5,3
26.0,Male,65.0,1.69,171,162.0,62.0,1.54,1066.0,Strength,16.6,3.5,2
28.0,Male,64.1,1.55,179,152.0,52.0,1.41,1091.0,HIIT,31.1,3.3,4
32.0,Female,42.4,1.79,176,135.0,56.0,1.63,843.0,Yoga,27.1,1.5,2
44.0,Male,40.0,1.72,179,124.0,74.0,0.85,1043.0,Cardio,22.8,2.1,5
49.0,Male,110.8,1.62,162,169.0,59.0,1.34,1783.0,Cardio,11.5,1.7,4
33.0,Male,58.1,1.65,168,130.0,60.0,1.18,850.0,Strength,22.4,3.1,3
18.0,Male,49.1,1.68,192,142.0,74.0,1.13,961.0,Yoga,23.7,3.1,3
39.0,Female,65.6,1.7,172,148.0,68.0,0.87,1709.0,HIIT,20.2,1.5,4
26.0,Male,57.8,1.61,162,135.0,65.0,1.91,684.0,Yoga,18.2,3.7,3
20.0,Male,40.0,1.78,192,149.0,57.0,0.93,1075.0,Strength,25.5,1.9,4
26.0,Female,51.9,1.9,182,129.0,55.0,2.0,1418.0,Cardio,32.2,2.4,2
37.0,Male,60.2,1.76,194,169.0,72.0,1.7,1114.0,Yoga,31.4,1.8,4
50.0,Male,41.1,1.51,169,152.0,63.0,2.0,1069.0,Strength,24.9,1.5,4
58.0,Female,73.3,1.69,180,156.0,72.0,1.6,1350.0,Yoga,25.4,3.0,4
18.0,Male,47.8,1.85,161,156.0,50.0,1.02,1265.0,Yoga,30.8,3.2,5
36.0,Male,69.0,1.76,191,153.0,73.0,1.01,1276.0,Strength,16.7,2.9,4
18.0,Male,78.1,1.75,184,158.0,50.0,1.391598199,871.0,Cardio,31.6,2.5,2
18.0,Female,80.7,2.0,184,142.0,74.0,0.72,1221.0,Yoga,25.6,1.9,2
24.0,Male,58.8,1.89,163,150.0,73.0,1.28,800.0,Strength,27.1,2.5,2
43.0,Male,77.8,1.7,180,149.0,58.0,1.38,1643.0,Strength,14.9,2.8,5
18.0,Male,72.8,1.84,174,152.0,62.0,1.32,730.0,Cardio,23.5,2.1,2
33.0,Female,40.0,1.79,194,162.0,60.0,1.39,1012.0,Cardio,23.7,2.8,4
43.0,Female,47.1,1.81,166,149.0,69.0,0.76,998.0,HIIT,22.2,3.0,4
22.0,Female,99.5,1.79,186,122.0,56.0,1.45,1783.0,Cardio,27.6,3.5,2
45.0,Female,54.0,1.86,170,148.0,65.0,1.36,670.0,Cardio,28.9,3.5,3
46.0,Female,119.6,1.71,176,129.0,53.0,1.26,1144.0,HIIT,23.9,1.7,4
29.0,Female,67.4,1.76,187,120.0,74.0,1.1,911.0,Cardio,21.4,2.3,5
31.0,Male,62.2,1.7,168,155.0,55.0,0.62,1596.0,Strength,35.0,3.2,2
51.0,Female,58.6,2.0,162,150.0,55.0,1.28,1030.0,Strength,16.7,3.4,3
18.0,Male,48.7,1.75,187,141.0,70.0,2.0,1266.0,Cardio,34.4,2.6,3
47.0,Female,70.1,1.71,199,139.0,74.0,1.15,1238.0,Cardio,25.1,2.5,4
29.0,Female,40.0,1.77,191,169.0,58.0,1.2,613.0,Strength,22.2,2.2,4
22.0,Female,53.3,1.73,172,144.0,71.0,1.1,1235.0,Strength,22.8,2.6,3
26.0,Female,84.7,1.83,166,156.0,73.0,1.0,833.0,Strength,27.9,2.8,5
48.0,Female,73.8,1.88,191,151.0,59.0,1.88,1783.0,Cardio,19.2,2.0,4
20.0,Female,82.6,1.6,174,149.0,63.0,2.0,775.0,HIIT,22.9,3.3,2
48.0,Male,119.9,1.73,165,156.0,66.0,0.99,781.0,Cardio,18.5,3.6,3
55.0,Female,59.9,1.53,178,157.0,54.0,1.23,1044.0,HIIT,26.9,3.4,4
20.0,Male,52.9,1.8,163,159.0,57.0,1.45,1117.0,Strength,27.1,3.3,3
31.0,Female,55.0,1.6,172,164.0,53.0,1.85,1361.0,Strength,20.6,3.4,4
30.0,Female,61.8,1.88,189,142.0,73.0,1.02,1033.0,Cardio,23.7,2.3,4
36.0,Female,77.7,1.66,193,120.0,72.0,1.21,1115.0,Strength,11.3,2.2,2
55.0,Female,93.1,1.82,172,148.0,60.0,1.22,1039.0,HIIT,17.3,2.6,4
29.0,Female,66.1,1.63,181,169.0,71.0,1.48,666.0,HIIT,30.6,1.6,5
18.0,Male,65.9,1.78,170,135.0,69.0,2.0,1734.0,Yoga,23.9,3.1,3
18.0,Male,89.4,1.84,168,168.0,69.0,2.0,968.0,Strength,17.3,2.6,5
51.0,Male,100.7,1.75,185,138.0,73.0,1.5,703.0,Strength,25.5,1.8,4
18.0,Female,45.1,1.86,182,169.0,64.0,0.92,1482.0,Strength,25.5,3.7,2
18.0,Male,40.0,1.65,160,144.0,73.0,2.0,1078.0,Yoga,17.4,3.5,2
33.0,Female,103.3,1.72,180,162.0,58.0,0.66,1104.0,Yoga,22.6,3.2,2
50.0,Female,69.6,1.9,172,127.0,74.0,1.391598199,303.0,Strength,26.2,1.5,3
29.0,Female,93.5,1.85,166,167.0,74.0,1.01,670.0,Cardio,23.2,2.6,3
20.0,Male,87.1,1.91,186,150.0,51.0,1.39,1431.0,Yoga,27.0,2.8,3
41.0,Male,83.7,1.92,161,163.0,59.0,1.37,1308.0,Cardio,21.4,1.5,2
45.0,Male,129.9,1.75,197,154.0,73.0,1.97,757.0,Cardio,23.5,2.4,5
18.0,Male,66.9,1.76,163,169.0,55.0,1.15,1018.0,Yoga,24.2,3.0,3
27.0,Female,40.0,1.8,162,140.0,74.0,1.42,901.0,HIIT,22.2,2.5,5
35.0,Male,95.9,1.69,175,129.0,58.0,1.22,1674.0,Cardio,27.5,2.1,3
39.0,Male,43.3,1.68,184,128.0,51.0,1.5,712.0,Cardio,13.2,1.5,2
53.0,Male,80.1,1.69,188,167.0,74.0,2.0,1196.0,Strength,13.0,2.3,3
29.0,Female,50.2,1.89,197,125.0,51.0,1.46,1286.0,Strength,27.6,3.3,2
45.0,Male,53.9,1.68,169,141.0,71.0,1.59,1031.0,Yoga,19.2,2.1,3
57.0,Female,57.6,1.86,169,120.0,73.0,1.99,929.0,HIIT,22.9,2.4,3
52.0,Female,45.0,1.75,196,143.0,74.0,2.0,926.0,Yoga,22.0,2.4,3
57.0,Female,129.9,1.88,162,148.0,56.0,1.71,1233.0,Strength,24.0,1.8,3
48.0,Male,55.5,1.5,183,133.0,51.0,0.73,830.0,Cardio,27.3,2.2,3
42.0,Female,40.0,1.81,177,145.0,59.0,1.71,1065.0,HIIT,26.6,1.5,3
29.0,Male,72.1,2.0,166,124.0,67.0,2.0,1582.0,Strength,32.7,3.4,3
42.0,Female,99.9,1.6,189,169.0,58.0,1.85,1099.0,HIIT,32.6,2.2,2
36.0,Female,80.8,1.71,162,163.0,74.0,1.86,900.0,Yoga,19.4,2.0,2
59.0,Male,40.0,1.739233371,185,132.0,50.0,1.32,1266.0,HIIT,22.7,2.3,4
28.0,Male,59.9,1.7,169,163.0,65.0,1.26,1474.0,Yoga,11.7,2.9,4
32.0,Male,58.4,2.0,179,139.0,60.0,1.21,1379.0,Strength,23.3,3.2,4
37.0,Male,62.1,1.85,196,151.0,64.0,1.28,943.0,HIIT,26.7,3.3,4
33.0,Female,108.7,1.75,199,131.0,74.0,0.86,1080.0,Yoga,24.1,1.9,3
